correct_given_protocol,cot,depth,instances,invalid_rate,max_new_tokens,mean_generated_tokens,median_generated_tokens,model,protocol_compliance,semantic_accuracy,strict_accuracy,truncation_rate
0.48,True,6,50,0,128,46.84,27.0,qwen2.5-7b,1,0.48,0.48,0
0.21739130434782608,True,7,50,0.08,128,70.12,65.0,qwen2.5-7b,0.92,0.2,0.2,0.08
0.7359307359307359,True,8,700,0.01,128,48.60857142857143,44.0,qwen2.5-7b,0.99,0.73,0.7285714285714285,0.014285714285714285
0.57,True,12,100,0,256,46.71,28.0,qwen2.5-7b,1,0.57,0.57,0
0.4,True,16,100,0,256,41.13,27.5,qwen2.5-7b,1,0.4,0.4,0
1.0,True,2,50,0,256,30.48,27.0,qwen2.5-7b,1,1,1,0
0.55,True,4,100,0,256,44.24,27.0,qwen2.5-7b,1,0.55,0.55,0
0.48,True,6,50,0,256,46.84,27.0,qwen2.5-7b,1,0.48,0.48,0
0.2127659574468085,True,7,50,0.06,256,78.24,65.0,qwen2.5-7b,0.94,0.22,0.2,0.06
0.7374461979913917,True,8,700,0.004285714285714286,256,49.607142857142854,44.0,qwen2.5-7b,0.9957142857142857,0.7342857142857143,0.7342857142857143,0.004285714285714286
0.57,True,12,100,0,512,46.71,28.0,qwen2.5-7b,1,0.57,0.57,0
0.4,True,16,100,0,512,41.13,27.5,qwen2.5-7b,1,0.4,0.4,0
1.0,True,2,50,0,512,30.48,27.0,qwen2.5-7b,1,1,1,0
0.55,True,4,100,0,512,44.24,27.0,qwen2.5-7b,1,0.55,0.55,0
0.48,True,6,50,0,512,46.84,27.0,qwen2.5-7b,1,0.48,0.48,0
0.26,True,7,50,0,512,87,65.0,qwen2.5-7b,1,0.26,0.26,0
0.7342857142857143,True,8,700,0,512,50.21142857142857,44.0,qwen2.5-7b,1,0.7342857142857143,0.7342857142857143,0
